Phage accession	Host lineage
AB036665.1	{'genus': ['Wolbachia'], 'family': ['Anaplasmataceae'], 'order': ['Rickettsiales'], 'phylum': ['Proteobacteria']}
AB036666.1	{'genus': ['Wolbachia'], 'family': ['Anaplasmataceae'], 'order': ['Rickettsiales'], 'phylum': ['Proteobacteria']}
AB161975.2	{'genus': ['Wolbachia'], 'family': ['Anaplasmataceae'], 'order': ['Rickettsiales'], 'phylum': ['Proteobacteria']}
AB362338.2	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AB572858.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
AB746912.1	{'genus': ['Nitratiruptor'], 'family': ['not defined'], 'order': ['not defined'], 'phylum': ['Proteobacteria']}
AB757801.1	{'genus': ['Edwardsiella'], 'family': ['Hafniaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AB910602.1	{'genus': ['Xanthomonas'], 'family': ['Xanthomonadaceae'], 'order': ['Xanthomonadales'], 'phylum': ['Proteobacteria']}
AB930182.1	{'genus': ['Bacillus'], 'family': ['Bacillaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
AB931172.1	{'genus': ['Ralstonia'], 'family': ['Burkholderiaceae'], 'order': ['Burkholderiales'], 'phylum': ['Proteobacteria']}
AB971354.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AB981170.1	{'genus': ['Ralstonia'], 'family': ['Burkholderiaceae'], 'order': ['Burkholderiales'], 'phylum': ['Proteobacteria']}
ACSJ01000012.1	{'genus': ['Clostridium'], 'family': ['Clostridiaceae'], 'order': ['Clostridiales'], 'phylum': ['Firmicutes']}
ACSJ01000013.1	{'genus': ['Clostridium'], 'family': ['Clostridiaceae'], 'order': ['Clostridiales'], 'phylum': ['Firmicutes']}
ACSJ01000015.1	{'genus': ['Clostridium'], 'family': ['Clostridiaceae'], 'order': ['Clostridiales'], 'phylum': ['Firmicutes']}
ACSJ01000017.1	{'genus': ['Clostridium'], 'family': ['Clostridiaceae'], 'order': ['Clostridiales'], 'phylum': ['Firmicutes']}
ACSJ01000018.1	{'genus': ['Clostridium'], 'family': ['Clostridiaceae'], 'order': ['Clostridiales'], 'phylum': ['Firmicutes']}
ACSJ01000019.1	{'genus': ['Clostridium'], 'family': ['Clostridiaceae'], 'order': ['Clostridiales'], 'phylum': ['Firmicutes']}
AF059243.1	{'genus': ['not defined'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AF065411.1	{'genus': ['Methanobacterium'], 'family': ['Methanobacteriaceae'], 'order': ['Methanobacteriales'], 'phylum': ['Euryarchaeota']}
